Platform,Year_of_Release,GDP,Region,Sales,Critic_Score
PS3,2009.0,758429859433.3378,EU,1.27,78.0
PS2,2008.0,847701674062.6414,EU,0.07,82.0
DS,2010.0,753290960912.9017,EU,0.99,72.0
X360,2010.0,753290960912.9017,EU,0.81,76.0
DS,2008.0,847701674062.6414,EU,0.53,68.0
PS3,2011.0,813223433671.1685,EU,0.73,71.0
GBA,2002.0,438750932223.38245,EU,0.1,81.0
GBA,2001.0,402931315045.37634,EU,0.73,88.0
PS3,2009.0,758429859433.3378,EU,0.6,80.0
PS4,2016.0,732733680124.9802,EU,1.25,76.0
XOne,2016.0,732733680124.9802,EU,0.77,87.0
PS2,2002.0,438750932223.38245,EU,0.44,84.0
GC,2004.0,615542926151.9761,EU,0.25,87.0
PS3,2011.0,813223433671.1685,EU,0.15,79.0
PS3,2013.0,799312477804.6195,EU,0.63,80.0
PS3,2007.0,790101255470.7872,EU,0.53,83.0
GBA,2001.0,402931315045.37634,EU,0.71,87.0
Wii,2006.0,684704773969.6798,EU,0.91,74.0
WiiU,2013.0,799312477804.6195,EU,0.62,77.0
GBA,2001.0,402931315045.37634,EU,0.83,74.0
PSP,2008.0,847701674062.6414,EU,0.5,79.0
X360,2013.0,799312477804.6195,EU,0.06,80.0
PS3,2012.0,766614252433.1886,EU,0.72,91.0
PS2,2003.0,533581709788.27405,EU,1.03,92.0
Wii,2009.0,758429859433.3378,EU,0.4,84.0
X360,2013.0,799312477804.6195,EU,0.79,80.0
PS4,2015.0,728680641956.5527,EU,1.19,73.0
PS3,2008.0,847701674062.6414,EU,0.85,71.0
X360,2007.0,790101255470.7872,EU,0.02,92.0
XOne,2013.0,799312477804.6195,EU,0.79,79.0
X360,2008.0,847701674062.6414,EU,0.24,92.0
X360,2010.0,753290960912.9017,EU,0.96,88.0
